AÑO	 CIIU	Descripción	Personas trabajadoras con cobertura (promedio)	Total de casos notificados	Casos con días de baja y secuelas incapacitantes	Personas trabajadoras fallecidas	Índice de incidencia [1]	Índice de incidencia de casos mortales [2]
2019	530	Servicios de correos y mensajerías	38.104	2.897	2.826	3	74,2	78,7
2019	551	Servicios de alojamiento, excepto en “camping”	64.240	4.296	4.113	4	64	62,3
2019	552	Servicios de alojamiento en “camping”	429	18	18	0	42	0
2019	561	Servicios de expendio de comidas y bebidas	180.207	12.555	12.153	5	67,4	27,7
2019	562	Servicios de preparación de comidas para empresas y servicios de comidas n.c.p.	21.771	1.984	1.904	0	87,5	0
2019	581	Edición	32.689	689	655	0	20	0
2019	591	Servicios de cinematografía	13.097	380	362	0	27,6	0
2019	592	Servicios de grabación de sonido y edición de música	105	3	3	0	28,7	0
2019	601	Emisión y retransmisión de radio	16.696	577	549	0	32,9	0
2019	602	Servicios de televisión	15.868	839	803	1	50,6	63
2019	611	Servicios de telefonía fija	32.925	1.768	1.703	1	51,7	30,4
2019	612	Servicios de telefonía móvil	280	10	9	0	32,1	0
2019	613	Servicios de telecomunicaciones vía satélite, excepto transmisión de televisión	28.638	1.508	1.468	0	51,3	0
2019	614	Servicios de telecomunicación vía “Internet”	1.934	80	75	0	38,8	0
2019	619	Servicios de telecomunicaciones n.c.p.	1.470	119	115	0	78,2	0
2019	620	Servicios de programación y consultoría informática y actividades conexas	77.641	1.088	997	1	12,8	12,9
2019	631	Procesamiento de datos, hospedaje y actividades conexas, portales “web”	4.776	158	154	1	32,2	209,4
2019	639	Servicios de agencias de noticias y servicios de información n.c.p.	5.020	230	209	0	41,6	0
2019	641	Intermediación monetaria	111.666	1.504	1.378	2	12,3	17,9
2019	642	Servicios de sociedades de cartera	3.903	92	81	2	20,8	512,4
2019	643	Fondos y sociedades de inversión y entidades financieras similares	1.094	8	8	0	7,3	0
2019	649	Servicios financieros excepto los de la banca central y las entidades financieras	27.154	830	793	1	29,2	36,8
2019	651	Servicios de seguros	95.115	2.728	2.187	0	23	0
2019	652	Reaseguros	229	8	6	0	26,2	0
2019	653	Administración de fondos de pensiones, excepto la seguridad social obligatoria	12	0	0	0	0	0
2019	661	Servicios auxiliares a la actividad financiera, excepto a los servicios de seguros	12.664	319	295	0	23,3	0
2019	662	Servicios auxiliares a los servicios de seguros	12.626	253	228	0	18,1	0
2019	663	Servicios de gestión de fondos a cambio de una retribución o por contrata	1.646	251	241	0	146,5	0
2019	681	Servicios inmobiliarios realizados por cuenta propia, con bienes propios o arrendados	63.104	2.977	2.843	8	45,1	126,8
2019	682	Servicios inmobiliarios realizados a cambio de una retribución o por contrata	37.700	1.880	1.766	2	46,8	53,1
2019	691	Servicios jurídicos	25.733	348	333	2	12,9	77,7
2019	692	Servicios de contabilidad, auditoría y asesoría fiscal	35.129	775	745	0	21,2	0
2019	702	Servicios de asesoramiento, dirección y gestión empresarial	87.885	4.428	3.450	1	39,3	11,4
2019	711	Servicios de arquitectura e ingeniería y servicios técnicos n.c.p.	51.140	3.184	3.030	11	59,2	215,1
2019	712	Ensayos y análisis técnicos	6.137	238	224	1	36,5	162,9
2019	721	Investigación y desarrollo experimental en el campo de la ingeniería y de las ciencias exactas y naturales	37.194	760	644	0	17,3	0
2019	722	Investigación y desarrollo experimental en el campo de las ciencias sociales y las humanidades	226	2	1	0	4,4	0
2019	731	Servicios de publicidad	19.035	543	522	0	27,4	0
2019	732	Estudio de mercado, realización de encuestas de opinión pública	3.614	119	109	0	30,2	0
2019	741	Servicios de diseño especializado	9.547	342	329	0	34,5	0
2019	742	Servicios de fotografía	675	21	18	0	26,7	0
2019	749	Actividades profesionales, científicas y técnicas n.c.p.	27.064	1.040	944	0	34,9	0
2019	750	Servicios veterinarios	3.154	105	98	0	31,1	0
2019	771	Alquiler de vehículos automotores y equipo de transporte sin conductor ni operarios	2.078	188	183	0	88,1	0
2019	772	Alquiler de efectos personales y enseres domésticos	1.063	94	92	1	86,6	941
2019	773	Alquiler de maquinaria y equipo n.c.p., sin personal	9.677	688	651	0	67,3	0
2019	774	Arrendamiento y gestión de bienes intangibles no financieros	41	1	1	0	24,1	0
2019	780	Obtención y dotación de personal	46.600	556	527	0	11,3	0
2019	791	Servicios de agencias de viaje y otras actividades complementarias de apoyo turístico	18.241	416	403	0	22,1	0
2019	801	Servicios de seguridad e investigación	148.730	10.821	10.445	21	70,2	141,2
2019	811	Servicio combinado de apoyo a edificios	24.564	2.754	2.545	1	103,6	40,7
2019	812	Servicios de limpieza de edificios	73.583	9.141	8.408	1	114,3	13,6
2019	813	Servicios de jardinería y mantenimiento de espacios verdes	3.457	366	346	0	100,1	0
2019	821	Servicios de apoyo a la administración de oficinas y empresas	2.088	84	69	0	33	0
